번호,대분류,클래스ID,한국어메뉴,영어메뉴,이미지파일명
01,"우동류","enoki_udon","팽이버섯 우동","Enoki Mushroom Udon","01_팽이버섯우동_enoki_mushroom_udon.jpg"
02,"우동류","kitsune_udon","유부 우동","Kitsune Udon","02_유부우동_kitsune_udon.jpg"
03,"우동류","wakame_udon","미역 우동","Wakame Seaweed Udon","03_미역우동_wakame_udon.jpg"
04,"우동류","tempura_udon","튀김 우동","Tempura Udon","04_튀김우동_tempura_udon.jpg"
05,"우동류","egg_udon","계란 우동","Egg Udon","05_계란우동_egg_udon.jpg"
06,"우동류","meat_udon","고기 우동","Meat Udon","06_고기우동_meat_udon.jpg"
07,"우동류","kayaku_udon","가야쿠 우동","Kayaku Udon","07_가야쿠우동_kayaku_udon.jpg"
08,"우동류","curry_udon","카레 우동","Curry Udon","08_카레우동_curry_udon.jpg"
09,"우동류","yaki_udon","야끼우동","Yaki Udon","09_야끼우동_yaki_udon.jpg"
10,"소바/면류","yakisoba","야키소바","Yakisoba","10_야키소바_yakisoba.jpg"
11,"정식류","udon_set","우동 정식","Udon Set Meal","11_우동정식_udon_set_meal.jpg"
12,"정식류","yaki_udon_set","야끼우동 정식","Yaki Udon Set Meal","12_야끼우동정식_yaki_udon_set_meal.jpg"
13,"정식류","yakisoba_set","야키소바 정식","Yakisoba Set Meal","13_야키소바정식_yakisoba_set_meal.jpg"
14,"소바/면류","champon","짬뽕","Champon","14_짬뽕_champon.jpg"
15,"우동류","zaru_udon","자루우동 (하절기 한정)","Zaru Udon (Summer Only)","15_자루우동_zaru_udon.jpg"
16,"소바/면류","zaru_soba","자루소바 (하절기 한정)","Zaru Soba (Summer Only)","16_자루소바_zaru_soba.jpg"
17,"소바/면류","chilled_somen","냉소면 (하절기 한정)","Chilled Somen (Summer Only)","17_냉소면_chilled_somen.jpg"
18,"소바/면류","hiyashi_chuka","히야시추카 (하절기 한정)","Hiyashi Chuka (Summer Only)","18_히야시추카_hiyashi_chuka.jpg"
19,"우동류","nabeyaki_udon","나베야키우동 (동절기 한정)","Nabeyaki Udon (Winter Only)","19_나베야키우동_nabeyaki_udon.jpg"
20,"정식류","nabeyaki_udon_set","나베야키우동 정식 (동절기 한정)","Nabeyaki Udon Set Meal (Winter Only)","20_나베야키우동정식_nabeyaki_udon_set_meal.jpg"
21,"라멘류","shoyu_ramen","간장 라멘","Shoyu Ramen","21_간장라멘_shoyu_ramen.jpg"
22,"라멘류","tonkotsu_ramen","돈코츠 라멘","Tonkotsu Ramen","22_돈코츠라멘_tonkotsu_ramen.jpg"
23,"라멘류","stamina_ramen","스태미나 라멘","Stamina Ramen","23_스태미나라멘_stamina_ramen.jpg"
24,"라멘류","stamina_chashu","스태미나 차슈 라멘","Stamina Chashu Ramen","24_스태미나차슈라멘_stamina_chashu_ramen.jpg"
25,"라멘류","chashu_ramen","차슈멘","Chashu Ramen","25_차슈멘_chashu_ramen.jpg"
26,"라멘류","special_ramen","특제 라멘","Special Ramen","26_특제라멘_special_ramen.jpg"
27,"정식류","ramen_set","라멘 정식","Ramen Set Meal","27_라멘정식_ramen_set_meal.jpg"
28,"덮밥류","egg_rice_bowl","계란 덮밥 (타마고동)","Egg Rice Bowl","28_계란덮밥_egg_rice_bowl.jpg"
29,"덮밥류","oyakodon","오야코동","Oyakodon","29_오야코동_oyakodon.jpg"
30,"덮밥류","tanindon","타닌동","Tanindon","30_타닌동_tanindon.jpg"
31,"덮밥류","meat_rice_bowl","고기 덮밥","Meat Rice Bowl","31_고기덮밥_meat_rice_bowl.jpg"
32,"정식류","gyudon_set","규동 정식","Gyudon Set Meal","32_규동정식_gyudon_set_meal.jpg"
33,"정식류","katsudon_set","가츠동 정식","Katsudon Set Meal","33_가츠동정식_katsudon_set_meal.jpg"
34,"볶음밥류","fried_rice","볶음밥 (보통)","Fried Rice (Regular)","34_볶음밥_보통_fried_rice_regular.jpg"
35,"볶음밥류","fried_rice_large","볶음밥 (곱빼기/대)","Fried Rice (Large)","35_볶음밥_곱빼기_fried_rice_large.jpg"
