번호,분류(클래스),일본어,한국어,영어,이미지파일명(번호_한글_영어),확보여부
01,"enoki_udon","えのきうどん","팽이버섯 우동","Enoki Mushroom Udon","01_팽이버섯우동_enoki_mushroom_udon.jpg",O
02,"kitsune_udon","きつねうどん","유부 우동","Kitsune Udon","02_유부우동_kitsune_udon.jpg",O
03,"wakame_udon","わかめうどん","미역 우동","Wakame Seaweed Udon","03_미역우동_wakame_udon.jpg",O
04,"tempura_udon","天ぷらうどん","튀김 우동","Tempura Udon","04_튀김우동_tempura_udon.jpg",O
05,"egg_udon","玉子うどん","계란 우동","Egg Udon","05_계란우동_egg_udon.jpg",O
06,"meat_udon","肉うどん","고기 우동","Meat Udon","06_고기우동_meat_udon.jpg",O
07,"kayaku_udon","かやくうどん","가야쿠 우동","Kayaku Udon","07_가야쿠우동_kayaku_udon.jpg",O
08,"curry_udon","カレーうどん","카레 우동","Curry Udon","08_카레우동_curry_udon.jpg",O
09,"yaki_udon","焼うどん","야끼우동","Yaki Udon","09_야끼우동_yaki_udon.jpg",O
10,"yakisoba","焼きそば","야키소바","Yakisoba","10_야키소바_yakisoba.jpg",O
11,"udon_set","うどん定食","우동 정식","Udon Set Meal","11_우동정식_udon_set_meal.jpg",O
12,"yaki_udon_set","焼うどん定食","야끼우동 정식","Yaki Udon Set Meal","12_야끼우동정식_yaki_udon_set_meal.jpg",O
13,"yakisoba_set","焼きそば定食","야키소바 정식","Yakisoba Set Meal","13_야키소바정식_yakisoba_set_meal.jpg",O
14,"champon","チャンポン","짬뽕","Champon","14_짬뽕_champon.jpg",O
15,"zaru_udon","ざるうどん(夏期のみ)","자루우동 (하절기 한정)","Zaru Udon (Summer Only)","15_자루우동_zaru_udon.jpg",O
16,"zaru_soba","ざるそば(夏期のみ)","자루소바 (하절기 한정)","Zaru Soba (Summer Only)","16_자루소바_zaru_soba.jpg",O
17,"chilled_somen","冷しそうめん(夏期のみ)","냉소면 (하절기 한정)","Chilled Somen (Summer Only)","17_냉소면_chilled_somen.jpg",O
18,"hiyashi_chuka","冷し中華(夏期のみ)","히야시추카 (하절기 한정)","Hiyashi Chuka (Summer Only)","18_히야시추카_hiyashi_chuka.jpg",O
19,"nabeyaki_udon","鍋焼うどん(冬期のみ)","나베야키우동 (동절기 한정)","Nabeyaki Udon (Winter Only)","19_나베야키우동_nabeyaki_udon.jpg",O
20,"nabeyaki_udon_set","鍋焼うどん定食(冬期のみ)","나베야키우동 정식 (동절기 한정)","Nabeyaki Udon Set Meal (Winter Only)","20_나베야키우동정식_nabeyaki_udon_set_meal.jpg",O
21,"shoyu_ramen","醤油ラーメン","간장 라멘","Shoyu Ramen","21_간장라멘_shoyu_ramen.jpg",O
22,"tonkotsu_ramen","とんこつラーメン","돈코츠 라멘","Tonkotsu Ramen","22_돈코츠라멘_tonkotsu_ramen.jpg",O
23,"stamina_ramen","スタミナラーメン","스태미나 라멘","Stamina Ramen","23_스태미나라멘_stamina_ramen.jpg",O
24,"stamina_chashu","スタミナチャーシュー","스태미나 차슈 라멘","Stamina Chashu Ramen","24_스태미나차슈라멘_stamina_chashu_ramen.jpg",O
25,"chashu_ramen","チャーシューメン","차슈멘","Chashu Ramen","25_차슈멘_chashu_ramen.jpg",O
26,"special_ramen","特製ラーメン","특제 라멘","Special Ramen","26_특제라멘_special_ramen.jpg",O
27,"ramen_set","ラーメン定食","라멘 정식","Ramen Set Meal","27_라멘정식_ramen_set_meal.jpg",O
28,"egg_rice_bowl","玉子丼","계란 덮밥 (타마고동)","Egg Rice Bowl","28_계란덮밥_egg_rice_bowl.jpg",O
29,"oyakodon","親子丼","오야코동","Oyakodon","29_오야코동_oyakodon.jpg",O
30,"tanindon","他人丼","타닌동","Tanindon","30_타닌동_tanindon.jpg",O
31,"meat_rice_bowl","肉丼","고기 덮밥","Meat Rice Bowl","31_고기덮밥_meat_rice_bowl.jpg",O
32,"gyudon_set","牛丼定食","규동 정식","Gyudon Set Meal","32_규동정식_gyudon_set_meal.jpg",O
33,"katsudon_set","かつ丼定食","가츠동 정식","Katsudon Set Meal","33_가츠동정식_katsudon_set_meal.jpg",O
34,"fried_rice","焼めし〈並〉","볶음밥 (보통)","Fried Rice (Regular)","34_볶음밥_보통_fried_rice_regular.jpg",O
35,"fried_rice_large","焼めし〈大〉","볶음밥 (곱빼기/대)","Fried Rice (Large)","35_볶음밥_곱빼기_fried_rice_large.jpg",O
